ID;Priorytet;Sesja;Panel;Rola;Obszar;Sciezka;Kroki;Oczekiwany wynik;Status;Tester;Data;Notatki
P0-20;P0;A — Finanse;admin;admin / biuro / ksiegowosc;Moduł Finanse;Finanse → Wnioski o fakturę;1) Upewnij się że jest wniosek z portalu 2) Otwórz inbox 3) Opracuj;Wniosek widoczny; status da się zmienić / opracować;Do zrobienia;;
P0-21;P0;A — Finanse;admin + public;admin / client_participant;Płatność online;Link raty → płatność;1) Wygeneruj signed link raty (admin lub portal) 2) Start sesji 3) Complete (fake gateway);OnlinePaymentSession completed; wpis w ledgerze; rata zsynchronizowana;Do zrobienia;
P1-01;P1;B — Impreza;admin;biuro / admin;Cykl imprezy;Imprezy → Utwórz (bez szablonu);1) Wypełnij minimalne dane 2) Zapisz;Status Zapytanie; redirect do Podsumowania;Do zrobienia;;
P1-02;P1;B — Impreza;admin;biuro / admin;Cykl imprezy;Szablon → Generuj imprezę;1) Z szablonu wygeneruj imprezę 2) Sprawdź pola;Pola z szablonu wypełnione; status Zapytanie;Do zrobienia;;
P1-03;P1;B — Impreza;www + admin;gość + biuro;CRM;Formularz WWW → zapytanie;1) Wyślij formularz oferty 2) Sprawdź Contact + Event + powiadomienie;Contact (email) + Event (inquiry) + zadanie/powiadomienie biura;Do zrobienia;;;
P1-04;P1;B — Impreza;admin;biuro / admin;Statusy;Ścieżka oferty (kanban);1) Przeciągnij Zapytanie → Oferta → Wstępna rezerwacja;Status zmieniony; zadanie/mail przy ofercie (jeśli skonfigurowane);Do zrobienia;;
P1-05;P1;B — Impreza;admin;biuro / admin;Statusy;Podsumowanie / lista — zmiana statusu;1) Zmień na Potwierdzona → Do rozliczenia → Rozliczona 2) Opcjonalnie Anulowana;Status zapisany; efekty uboczne (zadania/mail) zgodne z EventStatusChanged;Do zrobienia;;
P1-06;P1;B — Impreza;admin;biuro / admin;Program;Impreza → Program;1) Dodaj/edytuj punkt programu;Punkt zapisany; widoczny na liście;Do zrobienia;;
P1-07;P1;B — Impreza;admin;biuro / admin;Rezerwacje;Program → rezerwacja na punkcie;1) Z punktu dodaj rezerwację 2) Sprawdź hub Rezerwacje i globalny resource;Ta sama rezerwacja widoczna w trzech miejscach;Do zrobienia;;;
P1-08;P1;B — Impreza;admin;biuro / admin;Rezerwacje;Operacje → Rezerwacje (edycja);1) Edytuj rezerwację 2) Załącznik / sync zadań;Zapis przez UpsertReservationAction; zadania powiązane OK;Do zrobienia;;
P1-09;P1;B — Impreza;admin;biuro / admin;Operacje;Operacje → Zadania / Transport / Hotele / Pilot;1) Utwórz zadanie 2) Smoke transport/hotele 3) Przypisz pilota;Akcje bez błędu; pilot widzi imprezę w /pilot;Do zrobienia;;
P1-10;P1;B — Impreza;admin;biuro / admin;Uczestnicy;Impreza → Uczestnicy;1) Dodaj/edytuj uczestnika 2) Rezygnacja (smoke) 3) Eksport CSV jeśli używany;Lista aktualna; eksport generuje plik;Do zrobienia;;
P1-11;P1;B — Impreza;admin;biuro / admin;Portal (biuro);Uczestnicy → Portal klienta;1) Nadaj dostęp opiekunowi/uczestnikowi 2) Podgląd preview;Dostęp zapisany; preview otwiera /portal;Do zrobienia;;
P1-12;P1;B — Impreza;admin;biuro / admin;Umowy;Dokumenty → Umowy → umowa grupowa;1) Generuj umowę grupową (szablon+kwota) 2) Link publiczny + PDF;Umowa utworzona; link i PDF działają;Do zrobienia;;
P1-13;P1;B — Impreza;admin;biuro / admin;Umowy;Dokumenty → Umowy → indywidualne;1) Generuj umowy indywidualne (gdy są płatni uczestnicy);Umowy utworzone; PDF OK;Do zrobienia;;
P1-14;P1;B — Impreza;admin;biuro / admin;Umowy;Dokumenty → Umowy → aneks;1) Utwórz aneks do umowy;Aneks na liście; treść/PDF OK;Do zrobienia;;
P1-15;P1;B — Impreza;admin;biuro / admin;Dokumenty;Dokumenty → Pliki / Historia;1) Paczka PDF / oferta 2) Historia;Otwiera się bez błędu;Do zrobienia;;;
P1-16;P1;C — Portal klienta;portal;client_participant;Portal klienta;Login → Pulpit → Moje wycieczki;1) Zaloguj uczestnika 2) Wejdź w wycieczkę → Informacje;Lista wycieczek; Informacje widoczne;Do zrobienia;;
P1-17;P1;C — Portal klienta;portal;client_participant;Portal klienta;Wycieczka → Umowa;1) Otwórz Umowę (full access) 2) PDF;Podgląd i PDF działają;Do zrobienia;;;
P1-18;P1;C — Portal klienta;portal;client_participant;Portal klienta;Wycieczka → Harmonogram płatności;1) Otwórz harmonogram 2) Zapłać ratę (link);Lista rat; signed link startuje płatność;Do zrobienia;;
P1-19;P1;C — Portal klienta;portal;client_participant;Portal klienta;Wycieczka → Moje wpłaty;1) Porównaj saldo z admin ledgerem;Saldo zgodne z EventFinance → Wpłaty;Do zrobienia;;;
P1-20;P1;C — Portal klienta;portal;client_guardian;Portal klienta;Wycieczka → Uczestnicy;1) Zaloguj opiekuna 2) Dodaj/edytuj uczestnika + zgody;Zapis OK (UpsertEventParticipantAction);Do zrobienia;;;
P1-21;P1;C — Portal klienta;portal;client_guardian lub participant;Portal klienta;Wycieczka → Wniosek o fakturę;1) Wypełnij NIP/adres 2) Wyślij;Wniosek pending w inboxie biura;Do zrobienia;;;
P1-22;P1;C — Portal klienta;portal;client_participant;Portal klienta;Wygasanie full access;1) Wejdź w starą imprezę (end_date + ~90 dni);Full access wygasł; ograniczone zakładki;Do zrobienia;;
P1-23;P1;C — Portal klienta;portal;admin (preview);Portal klienta;Preview biura;1) Wejdź w portal jako biuro (preview);Baner preview; ekrany dostępne bez „prawdziwego” klienta;Do zrobienia;;
P1-24;P1;D — Portal pilota;pilot;pilot;Portal pilota;Login → Moje wycieczki;1) Pilot z assigned_to (+ shared_with_pilot) 2) Wejdź w wycieczkę;Wycieczka widoczna; trip nav OK;Do zrobienia;;
P1-25;P1;D — Portal pilota;pilot;pilot;Portal pilota;Wycieczka → Checklista;1) Odhacz pozycje 2) Zapisz;Stan checklisty zachowany;Do zrobienia;;;
P1-26;P1;D — Portal pilota;pilot;pilot;Portal pilota;Wycieczka → Obecność;1) Zapisz obecność (smoke);Zapis bez błędu;Do zrobienia;;;
P1-27;P1;D — Portal pilota;pilot;pilot;Portal pilota;Wycieczka → Zaliczka;1) Zapisz zaliczkę / wydatek / wymianę walut;Dane zapisane;Do zrobienia;;;
P1-28;P1;D — Portal pilota;pilot;pilot;Portal pilota;Wycieczka → Rozliczenie;1) Podgląd rozliczenia 2) PDF teczki;Podgląd i PDF OK;Do zrobienia;;;
P1-29;P1;D — Portal pilota;admin + pilot;admin / pilot;Spójność danych;Admin Finanse → Gotówka vs Pilot;1) Porównaj gotówkę/waluty admin ↔ pilot;Te same kwoty i wpisy;Do zrobienia;;;
P1-30;P1;D — Portal pilota;pilot;pilot (bez dostępu);Portal pilota;Brak przypisania;1) Pilot bez assigned_to / bez share;Wycieczka niewidoczna;Do zrobienia;;;
P1-31;P1;D — Portal pilota;pilot;pilot;Portal pilota;Wygasanie full access;1) Stara impreza (end_date + ~14 dni);Full access wygasł;Do zrobienia;;;
P2-01;P2;E — Smoke;admin;biuro / admin;Szablony;Szablony → Klonuj;1) Klonuj z listy lub edycji 2) Sprawdź kopię;Nazwa „… (Kopia)”; program/ceny skopiowane; redirect do edycji;Do zrobienia;
P2-02;P2;E — Smoke;admin;biuro / admin;Szablony;Huby szablonu;1) Otwórz program / hotel / transport / kalkulacja / qty;Wszystkie strony bez błędu;Do zrobienia;;;
P2-03;P2;E — Smoke;admin;admin;Umowy globalne;Słowniki → Szablony umów;1) CRUD 2) Nowa wersja;Zapis i wersjonowanie OK;Do zrobienia;;;
P2-04;P2;E — Smoke;admin;admin / ksiegowosc;Umowy globalne;Finanse → Umowy UFG;1) Create/edit 2) Eksport TFG smoke;Formularz i eksport bez błędu;Do zrobienia;;;
P2-05;P2;E — Smoke;admin;dowolna z dostępem;Pomoc;Admin → Pomoc;1) Lista artykułów 2) ?article=slug;Artykuł się otwiera;Do zrobienia;;;
P2-06;P2;E — Smoke;portal;client_* / preview;Pomoc;Portal → Pomoc;1) Lista 2) Jeden artykuł;Katalog portal OK;Do zrobienia;;;
P2-07;P2;E — Smoke;pilot;pilot / preview;Pomoc;Pilot → Pomoc;1) Lista 2) Jeden artykuł;Katalog pilot OK;Do zrobienia;;;
P2-08;P2;E — Smoke;admin;admin / biuro;Pomoc;HelpArticleAction na ekranie;1) Na 1–2 ekranach z akcją pomocy otwórz artykuł;Właściwy slug/artykuł;Do zrobienia;;;
P2-09;P2;E — Smoke;admin;admin / biuro / ksiegowosc;Operacje;Kalendarz;1) Filtr typów 2) Klik wpisu 3) Dodaj zadanie;Skróty i create działają;Do zrobienia;;;
P2-10;P2;E — Smoke;admin;admin / super_admin;System;Import / eksport danych;1) Eksport jednego CSV 2) Import smoke;Round-trip bez błędu;Do zrobienia;;;
P2-11;P2;E — Smoke;admin;biuro vs ksiegowosc vs wlasciciel;Uprawnienia;Widoczność Finanse / P&L / import;1) Zaloguj 3 role 2) Porównaj menu;biuro ≠ ksiegowosc ≠ wlasciciel zgodnie z policy/ExecutiveAccess;Do zrobienia;;;
P2-12;P2;E — Smoke;admin;admin vs wlasciciel;Uprawnienia;Zamknięte rozliczenie;1) Settlement zamknięty 2) Edycja jako nie-właściciel;Ograniczenie edycji zgodnie z policy;Do zrobienia;;;
